val_loss,iteration,activation_1,activation_2,activation_out,layers_1,layers_2,loss,optimizer,process
1.0465968707075239e-08,72,tanh,softmax,tanh,30,10,mae,Adam,data_lognorm
1.109220007433858e-08,73,tanh,linear,tanh,30,10,mae,Adam,data_lognorm
1.0458821643501833e-08,74,tanh,sigmoid,tanh,30,10,mae,Adam,data_lognorm
1.0478035851155512e-08,75,tanh,tanh,tanh,30,10,mae,Adam,data_lognorm
1.056668243360118e-08,76,tanh,sigmoid,sigmoid,30,10,mae,Adam,data_lognorm
1.0494926235947902e-08,77,tanh,sigmoid,tanh,30,10,mae,Adam,data_lognorm
1.994396021734244e-08,78,tanh,softmax,tanh,30,10,mae,Adam,data_log
8.0105907157989e-08,79,tanh,relu,softmax,30,10,mae,Adam,data_std
1.0496162842679627e-08,80,tanh,sigmoid,tanh,30,10,mae,Adam,data_lognorm
1.1657323680438306e-08,81,tanh,linear,tanh,30,10,mse,SGD,data_lognorm
1.0605302447803515e-08,82,tanh,tanh,sigmoid,5,25,mae,Adam,data_lognorm
1.0448387146347684e-08,83,tanh,sigmoid,tanh,40,10,mae,Adam,data_lognorm
1.216521168157053e-08,84,tanh,sigmoid,tanh,40,10,mae,Adam,data_std
0.009971090013811919,85,tanh,sigmoid,softmax,40,10,mae,Adam,data_log
1.2016119732361329e-08,86,tanh,sigmoid,tanh,40,10,mse,SGD,data_lognorm
1.0563688813640205e-08,87,tanh,sigmoid,sigmoid,40,10,mae,Adam,data_lognorm
1.0460065038976563e-08,88,tanh,sigmoid,tanh,40,5,mae,Adam,data_lognorm
1.217488369108126e-08,89,tanh,sigmoid,tanh,25,10,mae,Adam,data_std
0.009971090013811919,90,relu,sigmoid,softmax,30,10,mse,SGD,data_log
1.0454138249807643e-08,91,tanh,sigmoid,tanh,40,20,mae,Adam,data_lognorm
1.044879947677748e-08,92,tanh,sigmoid,tanh,40,20,mae,Adam,data_lognorm
1.0571228943988525e-08,93,tanh,sigmoid,sigmoid,40,20,mae,Adam,data_lognorm
1.0686457072937996e-08,94,softmax,relu,tanh,40,20,mae,Adam,data_lognorm
1.226230696266275e-08,95,relu,linear,tanh,40,20,mse,SGD,data_std
0.009971090013811919,96,tanh,sigmoid,softmax,40,20,mae,Adam,data_log
1.0462894087699058e-08,97,tanh,tanh,tanh,40,20,mae,Adam,data_lognorm
1.0465546876041889e-08,98,tanh,sigmoid,tanh,40,20,mae,Adam,data_lognorm
1.2741147216250582e-08,99,softmax,sigmoid,sigmoid,40,20,mae,SGD,data_lognorm
