Vds,Vgs,Id
0.0,0.0,-0.0
0.01,0.0,1.2854814272937135e-14
0.02,0.0,2.3967191821287634e-14
0.03,0.0,3.5052937478267643e-14
0.04,0.0,4.578862443249355e-14
0.05,0.0,5.628711622119075e-14
0.06,0.0,6.662488769038855e-14
0.07,0.0,7.685375718832394e-14
0.08,0.0,8.733475166875416e-14
0.09,0.0,9.733475166875415e-14
0.1,0.0,1.0733475166875415e-13
0.11,0.0,1.1733475166875414e-13
0.12,0.0,1.2733475166875413e-13
0.13,0.0,1.3733475166875413e-13
0.14,0.0,1.4733475166875414e-13
0.15,0.0,1.5733475166875415e-13
0.16,0.0,1.6733475166875416e-13
0.17,0.0,1.7733475166875417e-13
0.18,0.0,1.8733475166875417e-13
0.19,0.0,1.9733475166875418e-13
0.2,0.0,2.073347516687542e-13
0.21,0.0,2.173347516687542e-13
0.22,0.0,2.273347516687542e-13
0.23,0.0,2.373347516687542e-13
0.24,0.0,2.473347516687542e-13
0.25,0.0,2.573347516687542e-13
0.26,0.0,2.673347516687542e-13
0.27,0.0,2.773347516687542e-13
0.28,0.0,2.873347516687542e-13
0.29,0.0,2.973347516687542e-13
0.3,0.0,3.073347516687542e-13
0.31,0.0,3.1733475166875423e-13
0.32,0.0,3.2733475166875423e-13
0.33,0.0,3.3733475166875424e-13
0.34,0.0,3.4733475166875425e-13
0.35000000000000003,0.0,3.5733475166875426e-13
0.36,0.0,3.6733475166875427e-13
0.37,0.0,3.7733475166875427e-13
0.38,0.0,3.873347516687543e-13
0.39,0.0,3.973347516687543e-13
0.4,0.0,4.073347516687543e-13
0.41000000000000003,0.0,4.173347516687543e-13
0.42,0.0,4.273347516687543e-13
0.43,0.0,4.373347516687543e-13
0.44,0.0,4.4733475166875433e-13
0.45,0.0,4.573347516687543e-13
0.46,0.0,4.673347516687544e-13
0.47000000000000003,0.0,4.773347516687544e-13
0.48,0.0,4.873347516687544e-13
0.49,0.0,4.973347516687544e-13
0.5,0.0,5.073347516687543e-13
0.51,0.0,5.173347516687544e-13
0.52,0.0,5.273347516687543e-13
0.53,0.0,5.373347516687544e-13
0.54,0.0,5.473347516687544e-13
0.55,0.0,5.573347516687544e-13
0.56,0.0,5.673347516687544e-13
0.5700000000000001,0.0,5.773347516687544e-13
0.58,0.0,5.873347516687544e-13
0.59,0.0,5.973347516687544e-13
0.6,0.0,6.073347516687544e-13
0.61,0.0,6.173347516687545e-13
0.62,0.0,6.273347516687544e-13
0.63,0.0,6.373347516687545e-13
0.64,0.0,6.473347516687544e-13
0.65,0.0,6.573347516687545e-13
0.66,0.0,6.673347516687545e-13
0.67,0.0,6.773347516687545e-13
0.68,0.0,6.873347516687545e-13
0.6900000000000001,0.0,6.973347516687545e-13
0.7000000000000001,0.0,7.073347516687545e-13
0.71,0.0,7.173347516687545e-13
0.72,0.0,7.273347516687545e-13
0.73,0.0,7.373347516687546e-13
0.74,0.0,7.473347516687545e-13
0.75,0.0,7.573347516687546e-13
0.76,0.0,7.673347516687545e-13
0.77,0.0,7.773347516687546e-13
0.78,0.0,7.873347516687545e-13
0.79,0.0,7.973347516687546e-13
0.8,0.0,8.073347516687546e-13
0.81,0.0,8.173347516687546e-13
0.8200000000000001,0.0,8.273347516687546e-13
0.8300000000000001,0.0,8.373347516687546e-13
0.84,0.0,8.473347516687546e-13
0.85,0.0,8.573347516687547e-13
0.86,0.0,8.673347516687546e-13
0.87,0.0,8.773347516687547e-13
0.88,0.0,8.873347516687547e-13
0.89,0.0,8.973347516687547e-13
0.9,0.0,9.073347516687547e-13
0.91,0.0,9.173347516687547e-13
0.92,0.0,9.273347516687547e-13
0.93,0.0,9.373347516687548e-13
0.9400000000000001,0.0,9.473347516687548e-13
0.9500000000000001,0.0,9.573347516687547e-13
0.96,0.0,9.673347516687547e-13
0.97,0.0,9.773347516687548e-13
0.98,0.0,9.873347516687548e-13
0.99,0.0,9.973347516687548e-13
1.0,0.0,1.0073347516687547e-12
1.01,0.0,1.0173347516687549e-12
1.02,0.0,1.0273347516687548e-12
1.03,0.0,1.0373347516687548e-12
1.04,0.0,1.0473347516687548e-12
1.05,0.0,1.057334751668755e-12
1.06,0.0,1.0673347516687549e-12
1.07,0.0,1.0773347516687548e-12
1.08,0.0,1.0873347516687548e-12
1.09,0.0,1.097334751668755e-12
1.1,0.0,1.1073347516687549e-12
1.11,0.0,1.1173347516687549e-12
1.12,0.0,1.1273347516687548e-12
1.1300000000000001,0.0,1.137334751668755e-12
1.1400000000000001,0.0,1.147334751668755e-12
1.1500000000000001,0.0,1.1573347516687549e-12
1.16,0.0,1.1673347516687548e-12
1.17,0.0,1.177334751668755e-12
1.18,0.0,1.187334751668755e-12
1.19,0.0,1.197334751668755e-12
1.2,0.0,1.2073347516687549e-12
1.21,0.0,1.217334751668755e-12
1.22,0.0,1.227334751668755e-12
1.23,0.0,1.237334751668755e-12
1.24,0.0,1.247334751668755e-12
1.25,0.0,1.257334751668755e-12
1.26,0.0,1.267334751668755e-12
1.27,0.0,1.277334751668755e-12
1.28,0.0,1.287334751668755e-12
1.29,0.0,1.297334751668755e-12
1.3,0.0,1.307334751668755e-12
1.31,0.0,1.317334751668755e-12
1.32,0.0,1.327334751668755e-12
1.33,0.0,1.3373347516687551e-12
1.34,0.0,1.347334751668755e-12
1.35,0.0,1.357334751668755e-12
1.36,0.0,1.367334751668755e-12
1.37,0.0,1.3773347516687552e-12
1.3800000000000001,0.0,1.3873347516687551e-12
1.3900000000000001,0.0,1.397334751668755e-12
1.4000000000000001,0.0,1.407334751668755e-12
1.41,0.0,1.4173347516687552e-12
1.42,0.0,1.4273347516687552e-12
1.43,0.0,1.4373347516687551e-12
1.44,0.0,1.447334751668755e-12
1.45,0.0,1.4573347516687552e-12
1.46,0.0,1.4673347516687552e-12
1.47,0.0,1.4773347516687551e-12
1.48,0.0,1.487334751668755e-12
1.49,0.0,1.4973347516687553e-12
1.5,0.0,1.5073347516687552e-12
1.51,0.0,1.5173347516687552e-12
1.52,0.0,1.5273347516687553e-12
1.53,0.0,1.5373347516687553e-12
1.54,0.0,1.5473347516687552e-12
1.55,0.0,1.5573347516687552e-12
1.56,0.0,1.5673347516687554e-12
1.57,0.0,1.5773347516687553e-12
1.58,0.0,1.5873347516687553e-12
1.59,0.0,1.5973347516687552e-12
1.6,0.0,1.6073347516687554e-12
1.61,0.0,1.6173347516687554e-12
1.62,0.0,1.6273347516687553e-12
1.6300000000000001,0.0,1.6373347516687553e-12
1.6400000000000001,0.0,1.6473347516687554e-12
1.6500000000000001,0.0,1.6573347516687554e-12
1.6600000000000001,0.0,1.6673347516687553e-12
1.67,0.0,1.6773347516687553e-12
1.68,0.0,1.6873347516687555e-12
1.69,0.0,1.6973347516687554e-12
1.7,0.0,1.7073347516687554e-12
1.71,0.0,1.7173347516687553e-12
1.72,0.0,1.7273347516687555e-12
1.73,0.0,1.7373347516687554e-12
1.74,0.0,1.7473347516687554e-12
1.75,0.0,1.7573347516687554e-12
1.76,0.0,1.7673347516687555e-12
1.77,0.0,1.7773347516687555e-12
1.78,0.0,1.7873347516687554e-12
1.79,0.0,1.7973347516687554e-12
1.8,0.0,1.8073347516687556e-12
1.81,0.0,1.8173347516687555e-12
1.82,0.0,1.8273347516687557e-12
1.83,0.0,1.8373347516687554e-12
1.84,0.0,1.8473347516687556e-12
1.85,0.0,1.8573347516687553e-12
1.86,0.0,1.8673347516687555e-12
1.87,0.0,1.8773347516687557e-12
1.8800000000000001,0.0,1.8873347516687554e-12
1.8900000000000001,0.0,1.8973347516687556e-12
1.9000000000000001,0.0,1.9073347516687557e-12
1.9100000000000001,0.0,1.9173347516687555e-12
1.92,0.0,1.9273347516687556e-12
1.93,0.0,1.9373347516687554e-12
1.94,0.0,1.9473347516687556e-12
1.95,0.0,1.9573347516687557e-12
1.96,0.0,1.9673347516687555e-12
1.97,0.0,1.9773347516687556e-12
1.98,0.0,1.9873347516687558e-12
1.99,0.0,1.9973347516687555e-12
2.0,0.0,2.0073347516687553e-12
2.0100000000000002,0.0,2.017334751668755e-12
2.02,0.0,2.027334751668755e-12
2.0300000000000002,0.0,2.037334751668755e-12
2.04,0.0,2.0473347516687547e-12
2.05,0.0,2.0573347516687545e-12
2.06,0.0,2.0673347516687542e-12
2.07,0.0,2.077334751668754e-12
2.08,0.0,2.0873347516687538e-12
2.09,0.0,2.0973347516687535e-12
2.1,0.0,2.1073347516687533e-12
2.11,0.0,2.117334751668753e-12
2.12,0.0,2.1273347516687528e-12
2.13,0.0,2.1373347516687525e-12
2.14,0.0,2.1473347516687523e-12
2.15,0.0,2.157334751668752e-12
2.16,0.0,2.167334751668752e-12
2.17,0.0,2.177334751668752e-12
2.18,0.0,2.1873347516687517e-12
2.19,0.0,2.1973347516687515e-12
2.2,0.0,2.2073347516687512e-12
2.21,0.0,2.217334751668751e-12
2.22,0.0,2.2273347516687507e-12
2.23,0.0,2.2373347516687505e-12
2.24,0.0,2.2473347516687502e-12
2.25,0.0,2.25733475166875e-12
2.2600000000000002,0.0,2.2673347516687498e-12
2.27,0.0,2.2773347516687495e-12
2.2800000000000002,0.0,2.2873347516687493e-12
2.29,0.0,2.2973347516687494e-12
2.3000000000000003,0.0,2.307334751668749e-12
2.31,0.0,2.317334751668749e-12
2.32,0.0,2.3273347516687487e-12
2.33,0.0,2.3373347516687484e-12
2.34,0.0,2.347334751668748e-12
2.35,0.0,2.357334751668748e-12
2.36,0.0,2.3673347516687477e-12
2.37,0.0,2.3773347516687475e-12
2.38,0.0,2.3873347516687472e-12
2.39,0.0,2.397334751668747e-12
2.4,0.0,2.4073347516687467e-12
2.41,0.0,2.4173347516687465e-12
2.42,0.0,2.4273347516687466e-12
